type,key,filename,dimensions,label,status,hash
portrait,protagonist-neutral,portraits/protagonist-neutral.png,480x640,RELAY-7 / neutral,placeholder,e44a9b10b279fbe8
portrait,protagonist-focused,portraits/protagonist-focused.png,480x640,RELAY-7 / focused,placeholder,ef8fa98fb39635a2
portrait,protagonist-female,portraits/protagonist-female.png,480x640,protagonist-female,placeholder,5b5a61335778a83a
portrait,protagonist-male,portraits/protagonist-male.png,480x640,protagonist-male,placeholder,0f8ed4eee423d022
portrait,coworker-neutral,portraits/coworker-neutral.png,480x640,JAY CHEN / neutral,placeholder,8b073ed4d43f2691
portrait,coworker-concerned,portraits/coworker-concerned.png,480x640,JAY CHEN / concerned,placeholder,a6d2d4ad182e918b
portrait,coworker-urgent,portraits/coworker-urgent.png,480x640,JAY CHEN / urgent,placeholder,9ba674024cf5cfb6
portrait,supervisor-neutral,portraits/supervisor-neutral.png,480x640,TORRES / neutral,placeholder,959746dd4ce87810
portrait,supervisor-dismissive,portraits/supervisor-dismissive.png,480x640,TORRES / dismissive,placeholder,6a1517a5c2315e9c
portrait,aguilar-neutral,portraits/aguilar-neutral.png,480x640,AGUILAR / neutral,placeholder,f87237d536c9a884
portrait,aguilar-stern,portraits/aguilar-stern.png,480x640,AGUILAR / stern,placeholder,695bc12562c65ec8
portrait,dex-neutral,portraits/dex-neutral.png,480x640,DEX / neutral,placeholder,1c5d9bdabe8a7aef
portrait,dex-wary,portraits/dex-wary.png,480x640,DEX / wary,placeholder,878601d5c884ae59
portrait,sato-neutral,portraits/sato-neutral.png,480x640,SATO / neutral,placeholder,784a2d0b1c65cf0b
portrait,sato-serene,portraits/sato-serene.png,480x640,SATO / serene,placeholder,b01ec6dedbfe7f95
portrait,npc1-neutral,portraits/npc1-neutral.png,480x640,npc1-neutral,placeholder,5bb8454c930a91b5
portrait,npc1-hostile,portraits/npc1-hostile.png,480x640,npc1-hostile,placeholder,2fb36405bbd1dcb7
portrait,npc2-neutral,portraits/npc2-neutral.png,480x640,ENGINEER / neutral,placeholder,8c62fef732a72a18
portrait,npc2-worried,portraits/npc2-worried.png,480x640,ENGINEER / worried,placeholder,48dd744d9e05b6cd
background,bg-title,backgrounds/title.png,1280x720,WITHIN PARAMETERS,placeholder,beed53f947c87e37
background,bg-lore,backgrounds/lore.png,1280x720,ARCHIVE,placeholder,cb891f0a51064fc4
background,bg-dispatch,backgrounds/dispatch.png,1280x720,RELAY DISPATCH,placeholder,b41671c8da6335ac
background,bg-tunnel-main,backgrounds/tunnel-main.png,1280x720,MAIN TUNNEL,placeholder,c864bbf26a820582
background,bg-station-alpha,backgrounds/station-alpha.png,1280x720,STATION ALPHA,placeholder,96ec096f8af9f029
background,bg-station-beta,backgrounds/station-beta.png,1280x720,STATION BETA,placeholder,66808eebeae1f09a
background,bg-maintenance,backgrounds/maintenance.png,1280x720,MAINTENANCE JUNCTION,placeholder,d6c3adba0b217f47
background,bg-approach,backgrounds/approach.png,1280x720,DATA CENTER APPROACH,placeholder,129aa2b03efe1aad
background,bg-facility,backgrounds/facility.png,1280x720,HARDENED FACILITY,placeholder,89ff8456d8671d19
background,bg-server-room,backgrounds/server-room.png,1280x720,ARCHIVE CORE,placeholder,cb440e35b5ae681e
background,bg-ending-failure,backgrounds/ending-failure.png,1280x720,SYSTEM FAILURE,placeholder,63a50187a12d3ffe
background,bg-ending-destruction,backgrounds/ending-destruction.png,1280x720,SYSTEM DESTRUCTION,placeholder,a54bffddefbd1a40
background,bg-ending-correction,backgrounds/ending-correction.png,1280x720,SYSTEM CORRECTION,placeholder,f252927c3ef6c306
audio,bgm-title,audio/bgm-title.ogg,,bgm-title,replaced,ee4f4650d9d613f9
audio,bgm-ambient,audio/bgm-ambient.ogg,,bgm-ambient,replaced,91283b56f1e707f8
audio,bgm-tension,audio/bgm-tension.ogg,,bgm-tension,replaced,f2e311e997ecd21a
audio,bgm-ending,audio/bgm-ending.ogg,,bgm-ending,replaced,758709893981d0f6
audio,sfx-click,audio/sfx-click.mp3,,sfx-click,missing,
audio,sfx-alert,audio/sfx-alert.mp3,,sfx-alert,missing,
